country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ldc_mean
Afghanistan,6.55,19.0,54.1,65.0,91.7,110.0,110.0,184.0,174.0,215.0,214.0,224.0,214.0,160.0,148.0,124.0,115.0,105.0,102.0,128.18
Angola,18.4,16.7,23.6,27.2,61.0,21.3,8.12,12.4,17.0,10.6,10.1,7.97,9.7,11.0,8.74,13.6,7.16,7.49,5.18,15.65
Bangladesh,7.65,7.06,6.09,9.66,10.4,9.0,7.29,9.17,12.2,7.42,8.99,9.63,14.3,17.2,15.7,16.6,16.0,23.7,18.8,11.94
Benin,35.6,39.6,30.4,40.2,50.6,43.7,48.7,56.2,73.2,75.7,74.9,71.1,52.2,66.0,58.3,41.3,46.1,60.8,49.7,53.38
Bhutan,79.7,90.5,97.4,116.0,113.0,121.0,141.0,144.0,118.0,149.0,142.0,171.0,230.0,193.0,182.0,134.0,70.0,159.0,133.0,135.98
Burkina Faso,15.5,32.7,35.8,42.7,49.7,52.0,65.1,66.1,68.1,71.6,66.9,61.1,69.5,61.2,63.9,55.1,55.2,46.5,56.2,54.47
Burundi,14.6,21.3,25.6,32.9,50.3,49.6,56.8,64.2,64.0,68.6,72.3,63.9,56.7,58.6,52.4,36.1,70.8,40.3,40.3,49.44
Cambodia,28.4,29.6,32.2,34.5,31.1,34.1,35.3,46.5,44.1,45.3,47.6,47.6,54.6,53.8,52.6,43.7,46.2,53.5,47.3,42.53
Central African Republic,20.8,20.5,15.8,13.3,27.8,22.0,32.4,42.9,60.9,55.6,59.5,60.8,51.4,45.6,137.0,108.0,112.0,111.0,141.0,59.91
Chad,15.7,21.7,25.4,26.9,34.1,38.3,27.8,34.0,39.5,48.3,41.0,37.0,37.2,34.7,28.7,43.0,42.9,43.1,56.6,35.57
Comoros,35.6,49.8,48.4,42.2,43.3,37.8,51.1,70.2,64.0,75.4,101.0,78.3,140.0,110.0,98.7,84.6,67.6,82.6,104.0,72.87
"Congo, Dem. Rep.",3.79,5.09,23.6,105.0,36.2,34.3,38.8,23.1,29.2,37.8,54.0,82.8,41.2,36.2,32.5,34.1,26.7,28.2,29.9,36.97
Djibouti,101.0,81.0,99.2,104.0,83.4,94.7,145.0,140.0,172.0,200.0,157.0,166.0,171.0,169.0,185.0,190.0,199.0,151.0,185.0,147.02
Eritrea,77.7,120.0,91.4,122.0,96.9,124.0,43.2,52.9,47.5,45.7,51.2,41.5,76.17,76.17,76.17,76.17,76.17,76.17,76.17,76.17
Ethiopia,10.4,16.2,18.9,22.5,24.7,25.3,25.9,32.3,40.0,44.9,39.4,38.8,35.0,40.7,36.5,32.1,39.4,38.8,45.1,31.94
Gambia,37.7,38.8,45.9,43.7,41.0,39.4,47.3,59.3,56.0,71.9,67.5,73.4,73.0,57.2,49.6,54.6,42.8,126.0,102.0,59.32
Guinea,18.6,34.4,29.6,28.6,30.8,21.2,18.6,27.1,36.1,21.8,21.7,19.4,59.5,42.9,50.5,47.1,48.3,39.1,47.6,33.84
Guinea-Bissau,67.5,49.5,47.7,113.0,59.3,49.6,64.0,89.0,93.8,101.0,84.7,77.2,50.0,64.1,65.1,54.7,110.0,62.0,81.3,72.82
Haiti,21.5,19.8,17.4,21.0,31.0,39.9,56.9,65.6,85.5,101.0,290.0,149.0,124.0,111.0,103.0,97.8,98.9,89.3,89.2,84.83
Kiribati,201.0,129.0,230.0,183.0,161.0,289.0,271.0,285.0,273.0,249.0,231.0,616.0,617.0,602.0,737.0,586.0,541.0,676.0,640.0,395.63
Lao,43.9,37.8,42.7,45.5,40.8,42.0,52.6,57.9,75.6,60.7,62.3,58.6,63.7,64.7,71.5,69.9,58.4,69.1,80.0,57.77
Lesotho,18.3,27.3,37.9,39.2,47.5,34.3,35.8,65.9,72.8,61.4,128.0,128.0,137.0,158.0,52.4,42.0,54.0,69.6,72.0,67.44
Liberia,23.7,13.0,18.2,34.7,68.1,69.0,78.4,324.0,347.0,136.0,364.0,190.0,137.0,126.0,172.0,245.0,179.0,134.0,118.0,146.16
