country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ldc_mean
Angola,18.4,16.7,23.6,27.2,61.0,21.3,8.12,12.4,17.0,10.6,10.1,7.97,9.7,11.0,8.74,13.6,7.16,7.49,5.18,15.65
Bangladesh,7.65,7.06,6.09,9.66,10.4,9.0,7.29,9.17,12.2,7.42,8.99,9.63,14.3,17.2,15.7,16.6,16.0,23.7,18.8,11.94
Chad,15.7,21.7,25.4,26.9,34.1,38.3,27.8,34.0,39.5,48.3,41.0,37.0,37.2,34.7,28.7,43.0,42.9,43.1,56.6,35.57
"Congo, Dem. Rep.",3.79,5.09,23.6,105.0,36.2,34.3,38.8,23.1,29.2,37.8,54.0,82.8,41.2,36.2,32.5,34.1,26.7,28.2,29.9,36.97
Ethiopia,10.4,16.2,18.9,22.5,24.7,25.3,25.9,32.3,40.0,44.9,39.4,38.8,35.0,40.7,36.5,32.1,39.4,38.8,45.1,31.94
Guinea,18.6,34.4,29.6,28.6,30.8,21.2,18.6,27.1,36.1,21.8,21.7,19.4,59.5,42.9,50.5,47.1,48.3,39.1,47.6,33.84
Madagascar,20.6,23.0,22.3,31.6,70.4,50.0,41.5,46.1,42.4,21.1,22.6,20.6,16.5,21.7,24.9,28.0,25.0,30.5,26.3,30.79
Myanmar,2.26,2.66,2.5,2.6,2.54,2.96,2.96,3.95,10.7,7.08,7.01,7.45,9.81,75.9,26.5,22.2,29.0,28.9,31.4,14.65
Nepal,13.0,14.3,13.5,18.1,16.9,15.8,17.4,21.1,23.0,26.4,28.4,27.7,28.5,32.4,32.8,45.3,39.0,45.9,51.6,26.9
Sudan,6.48,5.37,8.29,16.4,25.5,45.6,49.7,50.0,58.8,52.4,43.9,47.2,36.3,39.1,22.2,22.4,19.7,19.9,31.62,31.62
Togo,14.1,9.1,9.84,9.4,11.9,14.7,13.9,20.7,54.3,79.1,62.8,82.2,36.2,32.5,29.6,27.2,22.4,44.7,37.6,32.22
