country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ldc_mean
Afghanistan,6.55,19.0,54.1,65.0,91.7,110.0,110.0,184.0,174.0,215.0,214.0,224.0,214.0,160.0,148.0,124.0,115.0,105.0,102.0,128.18
Bhutan,79.7,90.5,97.4,116.0,113.0,121.0,141.0,144.0,118.0,149.0,142.0,171.0,230.0,193.0,182.0,134.0,70.0,159.0,133.0,135.98
Djibouti,101.0,81.0,99.2,104.0,83.4,94.7,145.0,140.0,172.0,200.0,157.0,166.0,171.0,169.0,185.0,190.0,199.0,151.0,185.0,147.02
Haiti,21.5,19.8,17.4,21.0,31.0,39.9,56.9,65.6,85.5,101.0,290.0,149.0,124.0,111.0,103.0,97.8,98.9,89.3,89.2,84.83
Kiribati,201.0,129.0,230.0,183.0,161.0,289.0,271.0,285.0,273.0,249.0,231.0,616.0,617.0,602.0,737.0,586.0,541.0,676.0,640.0,395.63
Liberia,23.7,13.0,18.2,34.7,68.1,69.0,78.4,324.0,347.0,136.0,364.0,190.0,137.0,126.0,172.0,245.0,179.0,134.0,118.0,146.16
Mauritania,85.0,105.0,131.0,91.3,66.3,62.4,69.5,109.0,138.0,111.0,107.0,106.0,111.0,77.2,66.3,81.4,73.8,67.9,102.0,92.69
Rwanda,40.5,37.0,42.7,39.3,56.6,64.8,66.9,84.1,98.2,95.5,103.0,123.0,83.3,100.0,93.4,95.7,98.6,103.0,91.0,79.82
Sao Tome and Principe,246.0,264.0,177.0,252.0,219.0,208.0,143.0,307.0,276.0,173.0,278.0,398.0,269.0,280.0,211.0,245.0,231.0,194.0,210.0,241.11
Solomon Islands,166.0,140.0,60.1,139.0,265.0,419.0,415.0,482.0,445.0,399.0,631.0,605.0,549.0,507.0,342.0,315.0,283.0,294.0,296.0,355.37
Vanuatu,192.0,154.0,141.0,166.0,189.0,193.0,231.0,263.0,415.0,439.0,463.0,383.0,409.0,356.0,381.0,688.0,464.0,463.0,423.0,337.53
