country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,6.64,6.6,6.57,6.54,6.5,6.47,6.42,6.37,6.31,6.24,6.16,6.08,6.0,5.92,5.84,5.77,5.69,5.62,5.55
Bangladesh,3.12,3.01,2.91,2.8,2.7,2.61,2.52,2.44,2.38,2.32,2.28,2.24,2.21,2.18,2.16,2.13,2.1,2.08,2.05
Chad,7.35,7.32,7.27,7.21,7.15,7.07,6.99,6.9,6.8,6.7,6.59,6.48,6.37,6.26,6.16,6.05,5.95,5.85,5.75
"Congo, Dem. Rep.",6.96,6.91,6.86,6.81,6.76,6.71,6.66,6.61,6.57,6.52,6.47,6.42,6.36,6.3,6.24,6.17,6.09,6.02,5.92
Ethiopia,6.53,6.38,6.22,6.04,5.87,5.69,5.52,5.36,5.2,5.06,4.92,4.8,4.68,4.56,4.44,4.32,4.2,4.08,3.97
Guinea,6.08,6.02,5.95,5.88,5.8,5.73,5.65,5.58,5.5,5.42,5.34,5.26,5.18,5.09,5.01,4.93,4.86,4.78,4.7
Madagascar,5.55,5.45,5.34,5.24,5.14,5.05,4.96,4.87,4.78,4.69,4.6,4.52,4.44,4.37,4.3,4.24,4.18,4.13,4.08
Myanmar,2.91,2.89,2.87,2.83,2.78,2.72,2.66,2.59,2.53,2.47,2.41,2.36,2.32,2.29,2.26,2.23,2.21,2.19,2.17
Nepal,4.03,3.88,3.72,3.58,3.43,3.29,3.15,3.01,2.87,2.74,2.61,2.49,2.38,2.29,2.22,2.16,2.12,2.08,2.05
Sudan,5.47,5.4,5.33,5.27,5.2,5.14,5.09,5.03,4.98,4.93,4.88,4.83,4.77,4.72,4.66,4.6,4.53,4.47,4.41
Togo,5.41,5.36,5.32,5.28,5.23,5.18,5.12,5.06,5.0,4.94,4.87,4.8,4.73,4.66,4.59,4.52,4.45,4.38,4.32
