country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,7.49,7.39,7.27,7.14,6.99,6.83,6.65,6.46,6.25,6.04,5.82,5.6,5.38,5.17,4.98,4.8,4.64,4.48,4.33
Bhutan,3.6,3.42,3.24,3.09,2.95,2.84,2.73,2.64,2.55,2.46,2.38,2.31,2.24,2.18,2.13,2.09,2.05,2.02,1.99
Djibouti,4.48,4.36,4.24,4.12,3.99,3.87,3.74,3.62,3.5,3.4,3.3,3.21,3.13,3.06,2.98,2.91,2.85,2.79,2.73
Haiti,4.3,4.18,4.07,3.96,3.85,3.76,3.67,3.58,3.49,3.41,3.33,3.25,3.17,3.1,3.03,2.97,2.92,2.87,2.82
Kiribati,4.06,4.02,3.98,3.95,3.93,3.91,3.9,3.88,3.87,3.86,3.84,3.82,3.8,3.77,3.73,3.69,3.65,3.61,3.57
Liberia,5.88,5.8,5.72,5.64,5.55,5.46,5.37,5.28,5.19,5.11,5.02,4.94,4.87,4.79,4.72,4.65,4.58,4.51,4.45
Mauritania,5.45,5.39,5.34,5.28,5.23,5.18,5.14,5.1,5.06,5.02,4.98,4.94,4.9,4.85,4.79,4.74,4.67,4.61,4.55
Rwanda,5.64,5.54,5.45,5.35,5.24,5.14,5.02,4.9,4.77,4.64,4.52,4.39,4.27,4.16,4.06,3.97,3.89,3.81,3.74
Sao Tome and Principe,5.28,5.23,5.17,5.12,5.07,5.02,4.97,4.93,4.88,4.84,4.79,4.74,4.69,4.64,4.58,4.52,4.46,4.39,4.33
Solomon Islands,4.72,4.67,4.62,4.58,4.54,4.5,4.46,4.41,4.36,4.3,4.24,4.17,4.1,4.03,3.97,3.91,3.85,3.8,3.74
Vanuatu,4.37,4.27,4.16,4.06,3.95,3.85,3.76,3.68,3.61,3.55,3.5,3.46,3.42,3.38,3.35,3.31,3.28,3.24,3.2
