country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,51.8,51.3,50.6,49.7,48.5,47.3,46.2,45.0,44.1,43.4,42.9,42.7,42.6,42.6,42.6,42.6,42.6,42.6,42.6
Bangladesh,33.3,33.3,33.3,33.3,33.2,33.1,33.0,32.8,32.6,32.4,32.3,32.2,32.2,32.3,32.3,32.3,32.4,32.4,32.4
Chad,39.7,39.8,39.9,40.1,40.4,40.7,41.1,41.6,42.0,42.4,42.8,43.1,43.2,43.3,43.3,43.3,43.3,43.3,43.3
"Congo, Dem. Rep.",42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1
Ethiopia,32.1,30.7,29.9,29.9,30.0,30.2,30.5,30.9,31.5,32.1,32.7,33.5,34.5,35.5,36.7,37.7,38.4,38.8,39.1
Guinea,44.2,43.8,43.3,42.7,42.0,41.2,40.2,39.2,38.2,37.1,36.0,35.1,34.4,34.0,33.7,33.7,33.7,33.7,33.7
Madagascar,42.7,43.7,44.3,43.7,42.3,41.4,40.9,40.9,41.4,41.8,42.2,42.4,42.6,42.6,42.7,42.7,42.7,42.7,42.7
Myanmar,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1
Nepal,39.5,40.6,41.6,42.2,42.2,41.7,40.6,39.1,37.5,36.0,34.7,33.8,33.2,32.8,32.8,32.8,32.8,32.8,32.8
Sudan,35.7,35.7,35.6,35.6,35.6,35.5,35.5,35.5,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4
Togo,45.2,44.7,44.2,43.7,43.2,43.0,43.0,43.2,43.7,44.5,45.0,45.1,45.0,44.5,43.9,43.5,43.2,43.1,43.1
