country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
Bhutan,40.9,40.9,40.8,40.5,40.1,39.5,39.0,38.6,38.4,38.4,38.5,38.6,38.6,38.5,38.3,38.0,37.8,37.6,37.5
Djibouti,40.1,40.1,40.3,40.6,41.0,41.5,42.1,42.6,43.1,43.6,44.1,44.3,44.4,44.4,44.3,44.1,44.1,44.1,44.1
Haiti,59.1,58.9,58.5,57.9,57.2,56.4,55.6,54.8,54.0,53.3,52.5,51.9,51.4,51.1,50.9,50.9,50.9,50.9,50.9
Kiribati,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
Liberia,36.5,36.5,36.5,36.5,36.5,36.5,36.4,36.2,35.9,35.6,35.1,34.6,34.2,33.8,33.5,33.3,33.2,33.2,33.2
Mauritania,39.0,39.3,39.6,39.6,39.3,38.8,37.9,36.9,36.1,35.3,34.7,34.2,33.6,33.2,32.9,32.7,32.6,32.6,32.6
Rwanda,47.2,48.2,49.1,49.9,50.6,51.0,51.0,50.7,50.1,49.1,48.2,47.4,46.6,46.0,45.5,45.3,45.1,45.1,45.1
Sao Tome and Principe,32.1,32.0,31.9,31.8,31.7,31.5,31.4,31.3,31.1,31.0,30.9,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8
Solomon Islands,46.1,46.1,46.1,46.1,45.9,45.4,44.7,43.8,42.7,41.6,40.4,39.3,38.4,37.7,37.3,37.1,37.1,37.1,37.1
Vanuatu,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6
