country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,0.391,0.401,0.406,0.415,0.426,0.439,0.45399999999999996,0.46799999999999997,0.48,0.488,0.495,0.508,0.523,0.527,0.531,0.5329999999999999,0.578,0.5820000000000001,0.5820000000000001
Bangladesh,0.46799999999999997,0.47600000000000003,0.484,0.491,0.499,0.506,0.513,0.52,0.523,0.535,0.545,0.557,0.565,0.57,0.575,0.579,0.606,0.616,0.625
Chad,0.3,0.303,0.284,0.301,0.306,0.303,0.306,0.33799999999999997,0.34299999999999997,0.36,0.37,0.381,0.387,0.39,0.39399999999999996,0.396,0.39299999999999996,0.396,0.397
"Congo, Dem. Rep.",0.331,0.332,0.33899999999999997,0.34700000000000003,0.355,0.364,0.37,0.377,0.389,0.395,0.39799999999999996,0.40700000000000003,0.41200000000000003,0.419,0.425,0.435,0.47100000000000003,0.475,0.478
Ethiopia,0.28300000000000003,0.298,0.306,0.31,0.325,0.34600000000000003,0.36200000000000004,0.37799999999999995,0.39299999999999996,0.401,0.41100000000000003,0.42200000000000004,0.42700000000000005,0.435,0.441,0.44799999999999995,0.467,0.474,0.478
Guinea,0.322,0.32899999999999996,0.33799999999999997,0.325,0.34600000000000003,0.35600000000000004,0.364,0.371,0.376,0.38,0.385,0.396,0.406,0.41200000000000003,0.414,0.414,0.465,0.47100000000000003,0.473
Madagascar,0.456,0.462,0.457,0.466,0.473,0.478,0.483,0.491,0.5,0.503,0.504,0.506,0.508,0.509,0.511,0.512,0.523,0.526,0.527
Myanmar,0.42700000000000005,0.435,0.445,0.455,0.465,0.474,0.484,0.493,0.504,0.515,0.526,0.5329999999999999,0.54,0.547,0.552,0.556,0.563,0.5720000000000001,0.579
Nepal,0.446,0.447,0.457,0.46299999999999997,0.469,0.47600000000000003,0.486,0.49200000000000005,0.502,0.515,0.529,0.5379999999999999,0.545,0.551,0.555,0.5579999999999999,0.586,0.588,0.596
Sudan,0.39899999999999997,0.40299999999999997,0.409,0.415,0.423,0.43,0.44,0.444,0.456,0.461,0.46299999999999997,0.46799999999999997,0.478,0.485,0.488,0.49,0.507,0.509,0.506
Togo,0.426,0.428,0.428,0.43200000000000005,0.435,0.436,0.44299999999999995,0.441,0.442,0.449,0.457,0.46399999999999997,0.47,0.475,0.484,0.48700000000000004,0.502,0.506,0.51
