country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.34,0.341,0.373,0.381,0.396,0.405,0.415,0.433,0.434,0.44799999999999995,0.45399999999999996,0.46299999999999997,0.47,0.47600000000000003,0.479,0.479,0.502,0.506,0.509
Bhutan,0.52,0.52,0.52,0.52,0.52,0.52,0.526,0.542,0.551,0.561,0.5720000000000001,0.581,0.589,0.596,0.604,0.607,0.637,0.6459999999999999,0.649
Djibouti,0.363,0.37200000000000005,0.37799999999999995,0.38799999999999996,0.396,0.405,0.41600000000000004,0.42700000000000005,0.436,0.441,0.451,0.46,0.46399999999999997,0.467,0.47,0.473,0.505,0.51,0.518
Haiti,0.44299999999999995,0.444,0.447,0.45,0.452,0.455,0.45799999999999996,0.462,0.466,0.47,0.47,0.47700000000000004,0.483,0.48700000000000004,0.49,0.493,0.5,0.505,0.508
Kiribati,0.5529999999999999,0.569,0.569,0.574,0.5720000000000001,0.5760000000000001,0.574,0.5720000000000001,0.5760000000000001,0.584,0.585,0.581,0.589,0.597,0.586,0.588,0.622,0.627,0.628
Liberia,0.386,0.376,0.373,0.335,0.37200000000000005,0.377,0.38299999999999995,0.39399999999999996,0.4,0.40299999999999997,0.406,0.41600000000000004,0.419,0.426,0.42700000000000005,0.42700000000000005,0.478,0.48100000000000004,0.48
Mauritania,0.444,0.446,0.447,0.451,0.461,0.466,0.475,0.475,0.47600000000000003,0.484,0.48700000000000004,0.491,0.501,0.509,0.513,0.513,0.542,0.54,0.542
Rwanda,0.332,0.34299999999999997,0.359,0.371,0.38799999999999996,0.40399999999999997,0.424,0.43799999999999994,0.447,0.45399999999999996,0.46399999999999997,0.475,0.485,0.488,0.493,0.498,0.527,0.535,0.54
Sao Tome and Principe,0.49700000000000005,0.501,0.504,0.509,0.514,0.521,0.527,0.531,0.5329999999999999,0.542,0.546,0.5529999999999999,0.5589999999999999,0.562,0.565,0.574,0.608,0.619,0.624
Solomon Islands,0.442,0.446,0.45299999999999996,0.45899999999999996,0.465,0.47,0.48200000000000004,0.489,0.494,0.49200000000000005,0.49700000000000005,0.505,0.509,0.512,0.514,0.515,0.561,0.562,0.564
Vanuatu,0.5720000000000001,0.5720000000000001,0.5720000000000001,0.5720000000000001,0.5720000000000001,0.5720000000000001,0.579,0.5820000000000001,0.589,0.59,0.591,0.5920000000000001,0.591,0.596,0.598,0.597,0.598,0.601,0.603
